CustomerID,Status,Predicted_Churn_%,Retention_Agent,Recommended_Action
C00113,Stable,0.28,Kunal Desai,Thank‑you email with wellness gift voucher
C00114,Already_Left,78.08,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00115,Already_Left,60.52,Aditi Sharma,Win‑back call by agent Aditi Sharma + 25% discount on re‑joining Premium plan
C00116,Likely_to_Leave,6.36,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00117,Likely_to_Leave,21.68,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00118,Likely_to_Leave,19.75,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00119,Likely_to_Leave,3.28,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00120,Likely_to_Leave,1.45,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00121,Likely_to_Leave,0.99,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00122,Likely_to_Leave,1.38,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00123,Stable,0.53,Meera Iyer,Thank‑you email with wellness gift voucher
C00124,Already_Left,52.91,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00125,Likely_to_Leave,3.43,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00126,Likely_to_Leave,2.23,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00127,Likely_to_Leave,3.71,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00128,Stable,0.25,Rahul Singh,Thank‑you email with wellness gift voucher
C00129,Already_Left,31.58,Meera Iyer,Win‑back call by agent Meera Iyer + 25% discount on re‑joining Premium plan
C00130,Stable,0.05,Santosh Rao,Thank‑you email with wellness gift voucher
C00131,Stable,0.03,Kunal Desai,Thank‑you email with wellness gift voucher
C00132,Stable,0.32,Anita Paul,Thank‑you email with wellness gift voucher
C00133,Likely_to_Leave,19.81,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00134,Stable,0.14,Rahul Singh,Thank‑you email with wellness gift voucher
C00135,Stable,0.06,Meera Iyer,Thank‑you email with wellness gift voucher
C00136,Stable,0.27,Santosh Rao,Thank‑you email with wellness gift voucher
C00137,Already_Left,15.24,Kunal Desai,Win‑back call by agent Kunal Desai + 25% discount on re‑joining Premium plan
C00138,Stable,0.07,Anita Paul,Thank‑you email with wellness gift voucher
C00139,Stable,0.36,Aditi Sharma,Thank‑you email with wellness gift voucher
C00140,Stable,0.11,Rahul Singh,Thank‑you email with wellness gift voucher
C00141,Stable,0.58,Meera Iyer,Thank‑you email with wellness gift voucher
C00142,Likely_to_Leave,1.08,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00143,Stable,0.32,Kunal Desai,Thank‑you email with wellness gift voucher
C00144,Likely_to_Leave,4.0,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00145,Likely_to_Leave,5.58,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00146,Stable,0.13,Rahul Singh,Thank‑you email with wellness gift voucher
C00147,Already_Left,55.18,Meera Iyer,Win‑back call by agent Meera Iyer + 25% discount on re‑joining Premium plan
C00148,Likely_to_Leave,12.44,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00149,Stable,0.1,Kunal Desai,Thank‑you email with wellness gift voucher
C00150,Likely_to_Leave,1.75,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00151,Stable,0.08,Aditi Sharma,Thank‑you email with wellness gift voucher
C00152,Stable,0.37,Rahul Singh,Thank‑you email with wellness gift voucher
C00153,Likely_to_Leave,33.22,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00154,Likely_to_Leave,1.93,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00155,Likely_to_Leave,11.48,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00156,Already_Left,88.97,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00157,Likely_to_Leave,9.33,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00158,Likely_to_Leave,18.26,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00159,Likely_to_Leave,1.54,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00160,Stable,0.44,Santosh Rao,Thank‑you email with wellness gift voucher
C00161,Stable,0.07,Kunal Desai,Thank‑you email with wellness gift voucher
C00162,Stable,0.24,Anita Paul,Thank‑you email with wellness gift voucher
C00163,Stable,0.18,Aditi Sharma,Thank‑you email with wellness gift voucher
C00164,Likely_to_Leave,0.71,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00165,Likely_to_Leave,17.38,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00166,Stable,0.16,Santosh Rao,Thank‑you email with wellness gift voucher
C00167,Likely_to_Leave,0.86,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00168,Stable,0.05,Anita Paul,Thank‑you email with wellness gift voucher
C00169,Stable,0.21,Aditi Sharma,Thank‑you email with wellness gift voucher
C00170,Likely_to_Leave,1.38,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00171,Stable,0.04,Meera Iyer,Thank‑you email with wellness gift voucher
C00172,Likely_to_Leave,10.18,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00173,Already_Left,67.56,Kunal Desai,Win‑back call by agent Kunal Desai + 25% discount on re‑joining Premium plan
C00174,Stable,0.11,Anita Paul,Thank‑you email with wellness gift voucher
C00175,Likely_to_Leave,3.89,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00176,Already_Left,92.77,Rahul Singh,Win‑back call by agent Rahul Singh + 25% discount on re‑joining Premium plan
C00177,Stable,0.11,Meera Iyer,Thank‑you email with wellness gift voucher
C00178,Likely_to_Leave,7.59,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00179,Stable,0.04,Kunal Desai,Thank‑you email with wellness gift voucher
C00180,Likely_to_Leave,4.08,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00181,Stable,0.06,Aditi Sharma,Thank‑you email with wellness gift voucher
C00182,Likely_to_Leave,9.0,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00183,Likely_to_Leave,19.94,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00184,Already_Left,93.61,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00185,Likely_to_Leave,69.6,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00186,Stable,0.34,Anita Paul,Thank‑you email with wellness gift voucher
C00187,Stable,0.04,Aditi Sharma,Thank‑you email with wellness gift voucher
C00188,Stable,0.29,Rahul Singh,Thank‑you email with wellness gift voucher
C00189,Stable,0.05,Meera Iyer,Thank‑you email with wellness gift voucher
C00190,Already_Left,34.95,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00191,Stable,0.21,Kunal Desai,Thank‑you email with wellness gift voucher
C00192,Likely_to_Leave,1.77,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00193,Stable,0.67,Aditi Sharma,Thank‑you email with wellness gift voucher
C00194,Likely_to_Leave,14.34,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00195,Likely_to_Leave,59.96,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00196,Stable,0.21,Santosh Rao,Thank‑you email with wellness gift voucher
C00197,Likely_to_Leave,2.52,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00198,Likely_to_Leave,1.99,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00199,Likely_to_Leave,10.42,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00200,Stable,0.22,Rahul Singh,Thank‑you email with wellness gift voucher
C00201,Likely_to_Leave,2.9,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00202,Stable,0.06,Santosh Rao,Thank‑you email with wellness gift voucher
C00203,Stable,0.05,Kunal Desai,Thank‑you email with wellness gift voucher
C00204,Stable,0.14,Anita Paul,Thank‑you email with wellness gift voucher
C00205,Already_Left,92.13,Aditi Sharma,Win‑back call by agent Aditi Sharma + 25% discount on re‑joining Premium plan
C00206,Likely_to_Leave,2.55,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00207,Stable,0.4,Meera Iyer,Thank‑you email with wellness gift voucher
C00208,Stable,0.09,Santosh Rao,Thank‑you email with wellness gift voucher
C00209,Stable,0.12,Kunal Desai,Thank‑you email with wellness gift voucher
C00210,Likely_to_Leave,19.23,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00211,Likely_to_Leave,1.21,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00212,Likely_to_Leave,5.15,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00213,Already_Left,72.8,Meera Iyer,Win‑back call by agent Meera Iyer + 25% discount on re‑joining Premium plan
C00214,Already_Left,88.33,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00215,Stable,0.08,Kunal Desai,Thank‑you email with wellness gift voucher
C00216,Likely_to_Leave,4.35,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00217,Stable,0.05,Aditi Sharma,Thank‑you email with wellness gift voucher
C00218,Likely_to_Leave,21.1,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00219,Stable,0.44,Meera Iyer,Thank‑you email with wellness gift voucher
C00220,Likely_to_Leave,26.89,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00221,Likely_to_Leave,2.58,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00222,Stable,0.06,Anita Paul,Thank‑you email with wellness gift voucher
C00223,Already_Left,84.73,Aditi Sharma,Win‑back call by agent Aditi Sharma + 25% discount on re‑joining Premium plan
C00224,Stable,0.09,Rahul Singh,Thank‑you email with wellness gift voucher
C00225,Stable,0.15,Meera Iyer,Thank‑you email with wellness gift voucher
C00226,Already_Left,86.35,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00227,Stable,0.09,Kunal Desai,Thank‑you email with wellness gift voucher
C00228,Already_Left,6.86,Anita Paul,Win‑back call by agent Anita Paul + 25% discount on re‑joining Premium plan
C00229,Stable,0.24,Aditi Sharma,Thank‑you email with wellness gift voucher
C00230,Likely_to_Leave,25.76,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00231,Stable,0.18,Meera Iyer,Thank‑you email with wellness gift voucher
C00232,Stable,0.08,Santosh Rao,Thank‑you email with wellness gift voucher
C00233,Already_Left,93.58,Kunal Desai,Win‑back call by agent Kunal Desai + 25% discount on re‑joining Premium plan
C00234,Likely_to_Leave,1.35,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00235,Likely_to_Leave,2.88,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00236,Stable,0.07,Rahul Singh,Thank‑you email with wellness gift voucher
C00237,Stable,0.25,Meera Iyer,Thank‑you email with wellness gift voucher
C00238,Likely_to_Leave,1.19,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00239,Stable,0.69,Kunal Desai,Thank‑you email with wellness gift voucher
C00240,Stable,0.05,Anita Paul,Thank‑you email with wellness gift voucher
C00241,Likely_to_Leave,0.88,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00242,Likely_to_Leave,3.0,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00243,Likely_to_Leave,2.65,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00244,Likely_to_Leave,3.31,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00245,Likely_to_Leave,12.45,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00246,Likely_to_Leave,2.2,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00247,Likely_to_Leave,11.11,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00248,Stable,0.35,Rahul Singh,Thank‑you email with wellness gift voucher
C00249,Likely_to_Leave,18.97,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00250,Stable,0.07,Santosh Rao,Thank‑you email with wellness gift voucher
C00251,Stable,0.14,Kunal Desai,Thank‑you email with wellness gift voucher
C00252,Stable,0.05,Anita Paul,Thank‑you email with wellness gift voucher
C00253,Likely_to_Leave,1.14,Aditi Sharma,"Email + phone call from Aditi Sharma: offer 15% loyalty discount, free roadside assist add‑on"
C00254,Stable,0.13,Rahul Singh,Thank‑you email with wellness gift voucher
C00255,Stable,0.04,Meera Iyer,Thank‑you email with wellness gift voucher
C00256,Already_Left,41.06,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00257,Stable,0.66,Kunal Desai,Thank‑you email with wellness gift voucher
C00258,Stable,0.23,Anita Paul,Thank‑you email with wellness gift voucher
C00259,Likely_to_Leave,33.32,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00260,Stable,0.11,Rahul Singh,Thank‑you email with wellness gift voucher
C00261,Likely_to_Leave,28.29,Meera Iyer,"Email + phone call from Meera Iyer: offer 15% loyalty discount, free roadside assist add‑on"
C00262,Likely_to_Leave,9.41,Santosh Rao,Proactive email: upgrade to Standard with 10% discount
C00263,Likely_to_Leave,0.71,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
C00264,Stable,0.26,Anita Paul,Thank‑you email with wellness gift voucher
C00265,Likely_to_Leave,82.02,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00266,Likely_to_Leave,16.0,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00267,Stable,0.22,Meera Iyer,Thank‑you email with wellness gift voucher
C00268,Already_Left,71.17,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00269,Likely_to_Leave,25.61,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00270,Stable,0.21,Anita Paul,Thank‑you email with wellness gift voucher
C00271,Stable,0.57,Aditi Sharma,Thank‑you email with wellness gift voucher
C00272,Likely_to_Leave,1.82,Rahul Singh,"Email + phone call from Rahul Singh: offer 15% loyalty discount, free roadside assist add‑on"
C00273,Stable,0.08,Meera Iyer,Thank‑you email with wellness gift voucher
C00274,Likely_to_Leave,21.57,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00275,Stable,0.57,Kunal Desai,Thank‑you email with wellness gift voucher
C00276,Likely_to_Leave,2.34,Anita Paul,"Email + phone call from Anita Paul: offer 15% loyalty discount, free roadside assist add‑on"
C00277,Likely_to_Leave,5.37,Aditi Sharma,Proactive email: upgrade to Standard with 10% discount
C00278,Likely_to_Leave,68.8,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00279,Likely_to_Leave,2.51,Meera Iyer,Proactive email: upgrade to Standard with 10% discount
C00280,Stable,0.03,Santosh Rao,Thank‑you email with wellness gift voucher
C00281,Stable,0.26,Kunal Desai,Thank‑you email with wellness gift voucher
C00282,Likely_to_Leave,0.82,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00283,Stable,0.58,Aditi Sharma,Thank‑you email with wellness gift voucher
C00284,Stable,0.35,Rahul Singh,Thank‑you email with wellness gift voucher
C00285,Stable,0.34,Meera Iyer,Thank‑you email with wellness gift voucher
C00286,Already_Left,95.83,Santosh Rao,Win‑back call by agent Santosh Rao + 25% discount on re‑joining Premium plan
C00287,Likely_to_Leave,1.21,Kunal Desai,"Email + phone call from Kunal Desai: offer 15% loyalty discount, free roadside assist add‑on"
C00288,Likely_to_Leave,2.06,Anita Paul,Proactive email: upgrade to Standard with 10% discount
C00289,Stable,0.1,Aditi Sharma,Thank‑you email with wellness gift voucher
C00290,Likely_to_Leave,72.77,Rahul Singh,Proactive email: upgrade to Standard with 10% discount
C00291,Stable,0.23,Meera Iyer,Thank‑you email with wellness gift voucher
C00292,Likely_to_Leave,16.59,Santosh Rao,"Email + phone call from Santosh Rao: offer 15% loyalty discount, free roadside assist add‑on"
C00293,Likely_to_Leave,2.02,Kunal Desai,Proactive email: upgrade to Standard with 10% discount
